tenure_months,total_orders,total_spend,recency_days,age,income_bracket,nps_score,online_ratio,return_rate,support_tickets,discount_usage,category_preference,region,gender,clv_tier,customer_id,avg_order_value,tenure_years,purchase_frequency,recency_score,frequency_score,monetary_score,rfm_score,retention_rate,churn_rate,clv_12month,clv_segment,clv_predicted_rf,clv_predicted_ridge,clv_predicted_xgb,clv_predicted_ensemble,clv_error_rf
44,6,800.0,165,47,2,6,0.3148432719376027,0.1013639890005105,10,0.4159003555115814,Pharmacy,East,M,At-Risk,CUST_01802,133.33333333333334,3.6666666666666665,1.6363636363636365,2,2,3,7,0.3205867428279236,0.6794132571720763,125.95,Low,126.61279302141888,131.21588205437712,113.75017,123.48867743798245,0.662793021418878
13,42,1245.3597093035062,85,28,3,6,0.7782227381837659,0.1140410636826534,4,0.2642233086636711,Sports,North,M,Growers,CUST_01191,29.65142165008348,1.0833333333333333,38.76923076923077,3,4,4,11,0.6065544296764672,0.3934455703235328,904.57,High,1213.5640539289157,1472.8992986130306,963.03314,1176.962233488242,308.9940539289156
24,7,800.0,97,46,1,7,0.4500647245472393,0.2924931067512852,12,0.6762313415761052,Grocery,North,M,At-Risk,CUST_01818,114.28571428571428,2.0,3.5,3,2,3,8,0.5564484600701043,0.4435515399298957,251.63,Medium,251.28790916939766,365.6400757815364,269.18588,276.5204856344245,0.3420908306023307
72,131,5686.391850267473,15,41,4,9,0.795339578532883,0.0289450759387236,4,0.0819610611318198,Electronics,East,M,Champions,CUST_00252,43.40757137608758,6.0,21.83333333333333,5,5,5,15,0.95,0.05,6710.32,Very High,6867.5209383078345,3898.424078935342,6490.3506,6029.2079625428605,157.2009383078348
20,6,103.9711283033304,192,40,1,2,0.2993911376951459,0.4148099704823982,6,0.4072299534321207,Pharmacy,South,M,Hibernating,CUST_02506,17.328521383888397,1.6666666666666667,3.6,2,2,1,5,0.3867276810887248,0.6132723189112752,35.17,Low,37.32298691965702,49.466761653294434,35.679287,38.96290370138371,2.1529869196570175
20,37,1064.3635664408907,74,51,3,8,0.8645681168608841,0.1214691733914756,2,0.3118023718933471,Tech,North,M,Growers,CUST_01118,28.76658287678083,1.6666666666666667,22.2,3,4,3,10,0.6905797091924625,0.3094202908075375,722.26,Medium,666.7227724589612,646.9112312732245,713.5465,676.3457375436199,55.53722754103876
14,27,901.6623643759316,42,45,3,7,0.8790435937937114,0.105333367242277,6,0.1909700984067208,Clothing,East,F,Growers,CUST_01412,33.39490238429376,1.1666666666666667,23.142857142857142,4,3,3,10,0.6431083924603515,0.3568916075396485,675.8,Medium,894.0033684947136,724.8484366001798,711.78955,800.6225981941068,218.2033684947137
28,11,355.19112667947536,66,62,1,5,0.5579628818728453,0.1782997997227112,14,0.53471091528926,Grocery,South,M,At-Risk,CUST_02114,32.29010242540685,2.333333333333333,4.714285714285714,3,2,2,7,0.5205488082507084,0.4794511917492916,101.18,Low,104.3411197904819,110.78104004620653,81.66887,98.12317909675933,3.161119790481891
45,109,15000.0,4,64,4,10,0.3630010139319971,0.0585395489639416,4,0.1336710137690264,Home,West,F,Champions,CUST_00409,137.61467889908258,3.75,29.066666666666663,5,5,5,15,0.95,0.05,33164.22,Very High,23572.13128114301,28053.70631409998,31868.562,26718.15373223921,9592.08871885699
23,6,41.22824324738632,318,65,1,5,0.2733026254756892,0.307308931862168,14,0.7437875027837546,Pharmacy,East,M,Hibernating,CUST_02580,6.871373874564387,1.9166666666666667,3.130434782608696,1,2,1,4,0.2621295672010294,0.7378704327989706,10.9,Low,12.117219166892886,30.303036920281677,10.786687,14.116655241695838,1.2172191668928853
37,6,482.9857061062306,139,66,2,4,0.2039443335286426,0.1039512658371614,7,0.4273140612465873,Grocery,North,F,At-Risk,CUST_02255,80.49761768437178,3.083333333333333,1.9459459459459456,2,2,2,6,0.36961856577375,0.6303814342262499,75.34,Low,86.612723357546,71.74038322089262,78.63474,81.0293919021829,11.272723357545999
30,193,15000.0,28,34,4,8,0.4226761570831055,0.0676536527524281,1,0.0340467809207281,Electronics,South,M,Champions,CUST_00053,77.72020725388602,2.5,77.2,4,5,5,14,0.8386270643393853,0.1613729356606147,9712.08,Very High,7667.286780882961,59041.11466194336,9506.342,12301.66925894047,2044.7932191170394
15,58,1600.0054943267148,56,41,2,6,0.5040247741125501,0.0876895016885213,2,0.1510661895832513,Clothing,West,F,Growers,CUST_00645,27.58630162632267,1.25,46.4,4,5,4,13,0.8796878563549083,0.1203121436450916,3246.39,Very High,3637.0430623321504,4364.044258140184,3337.7883,3676.1247012588888,390.6530623321505
15,11,650.4511147222529,173,34,2,4,0.5611194075732582,0.2630724006942359,9,0.5836693012638358,Clothing,North,M,At-Risk,CUST_01764,59.13191952020481,1.25,8.8,2,2,3,7,0.3880186059608743,0.6119813940391257,304.71,Medium,283.7394679401998,219.20005768392951,295.7138,272.83484052397563,20.970532059800178
15,7,169.8097820862188,294,38,1,6,0.1406448606804853,0.4814736060412395,16,0.5616958927974872,Pharmacy,North,F,Hibernating,CUST_02777,24.258540298031257,1.25,5.6,1,2,2,5,0.2783858335435017,0.7216141664564982,59.93,Low,71.69786116894602,70.57713534970937,72.5453,71.72474192501257,11.76786116894602
17,37,841.5506659065716,34,41,3,7,0.6536187776037785,0.1435688377547626,5,0.2158880558256714,Tech,East,M,Growers,CUST_00901,22.7446125920695,1.4166666666666667,26.11764705882353,4,4,3,11,0.8027577278670793,0.1972422721329206,947.66,High,1074.6741448294254,1083.5925900182435,1001.3011,1053.8559907182744,127.01414482942539
34,21,1693.1598590356275,73,37,2,8,0.4224677262263631,0.0995215192671546,7,0.3279344270693384,Sports,West,M,Growers,CUST_01074,80.6266599540775,2.833333333333333,7.411764705882352,3,3,4,10,0.5960744147619121,0.4039255852380878,474.01,Medium,522.0400281846735,576.2072078385727,505.50528,527.3345836282341,48.03002818467348
73,56,5623.749891439163,28,56,3,10,0.7137765261370235,0.0337513687116697,4,0.0386447998145293,Electronics,East,F,Champions,CUST_00473,100.42410520427076,6.083333333333333,9.205479452054796,4,4,5,13,0.8115384269332304,0.1884615730667695,1698.22,High,2227.5706602301316,1646.1389919081787,1630.446,1909.430004404663,529.3506602301316
15,7,44.455903202128646,324,62,1,3,0.2427669478372654,0.4535949438797557,17,0.8292368479694595,Pharmacy,South,M,Hibernating,CUST_02739,6.350843314589807,1.25,5.6,1,2,1,4,0.3471548518460797,0.6528451481539204,21.45,Low,19.60855125220226,46.3761623403871,20.915773,23.79492248162303,1.8414487477977382
21,3,67.73272256025172,205,46,2,6,0.4460483216832043,0.3843082831125534,15,0.4122480704110776,Grocery,West,F,Hibernating,CUST_02547,22.57757418675057,1.75,1.7142857142857142,1,1,1,3,0.229651173860654,0.770348826139346,17.58,Low,19.32224829268412,23.457595329090157,17.660349,19.556282727429625,1.7422482926841205
74,134,12352.81228317561,6,56,3,9,0.3828740884826103,0.0246341561594792,0,0.0508235223634211,Luxury,South,F,Champions,CUST_00045,92.1851662923553,6.166666666666667,21.72972972972973,5,5,5,15,0.95,0.05,14152.99,Very High,13733.441403943112,8827.653695195875,13840.969,12601.12422770822,419.5485960568876
40,177,9739.197906872383,28,44,4,8,0.3848642142884615,0.0692821057100267,0,0.0221937501164108,Home,North,F,Champions,CUST_00290,55.023716987979576,3.333333333333333,53.1,4,5,5,14,0.8576132885086886,0.1423867114913114,6943.76,Very High,7257.749630277719,16501.279922991318,6682.996,8344.465999854889,313.9896302777188
16,32,2500.0,45,36,3,6,0.5750524021422818,0.0515610622257729,7,0.1349429152733736,Clothing,East,F,Growers,CUST_00913,78.125,1.3333333333333333,24.0,4,4,4,12,0.7745692552955672,0.2254307447044328,2701.01,Very High,2366.86776173021,2591.050484150885,2705.2686,2508.682143020656,334.14223826979014
14,8,333.90661049440973,137,20,1,6,0.4947688249131809,0.2860599630866599,9,0.6605554462142291,Pharmacy,East,M,At-Risk,CUST_02084,41.73832631180122,1.1666666666666667,6.857142857142857,2,2,2,6,0.4326798341972984,0.5673201658027016,201.92,Medium,168.40185550423863,118.01708285509257,194.39357,163.76086893927885,33.51814449576136
22,24,1922.1085473652277,15,31,3,8,0.4516467337763216,0.1366608228929158,4,0.2253081816696019,Clothing,West,F,Growers,CUST_01361,80.08785614021781,1.8333333333333333,13.090909090909092,5,3,4,12,0.8335738835716043,0.1664261164283956,2464.6,High,2011.0129505587568,2219.417013761978,2203.3171,2108.0388493773007,453.58704944124315
13,4,21.448502338124342,261,59,1,2,0.2228167701959701,0.2773303076556722,9,0.6133390361302498,Grocery,East,F,Hibernating,CUST_02896,5.362125584531087,1.0833333333333333,3.692307692307693,1,1,1,3,0.1660689691231559,0.8339310308768441,11.29,Low,14.398372973958207,24.983429409509824,10.987392,14.859669431144638,3.1083729739582076
10,5,108.54165746458136,241,19,1,3,0.4142728327104125,0.4830980077410421,7,0.7639779088316332,Grocery,North,F,Hibernating,CUST_02604,21.70833149291627,0.8333333333333334,6.0,1,1,1,3,0.2305791962890871,0.7694208037109129,64.93,Low,56.131407149977115,35.11407106911767,59.589447,52.05078885068314,8.798592850022892
20,27,800.0,66,50,2,7,0.8849456709408816,0.0821588264224049,4,0.2240910931165767,Clothing,North,M,Growers,CUST_01227,29.62962962962963,1.6666666666666667,16.2,3,3,3,9,0.5528233941677029,0.4471766058322971,348.63,Medium,445.2864813791278,356.8878548177321,351.3663,396.79067213575337,96.6564813791278
45,45,12439.890918834544,5,64,4,10,0.7804600734644123,0.0400343658511866,0,0.0848123909628807,Luxury,South,F,Champions,CUST_00297,276.44202041854544,3.75,12.0,5,4,5,14,0.9240527862070896,0.0759472137929102,13347.77,Very High,14203.634402001067,24429.591346627396,14219.013,15835.96076148339,855.864402001067
7,29,1871.7457178800312,50,51,3,6,0.6397403155955004,0.1042902131477619,1,0.1644675008870021,Clothing,North,M,Growers,CUST_01242,64.5429557889666,0.5833333333333334,49.71428571428571,4,4,4,12,0.798685189956718,0.201314810043282,6435.78,Very High,4115.175302555844,4742.070098122487,4952.6606,4475.481558730373,2320.604697444156
8,46,1450.2676967702923,17,43,3,9,0.5385227981417112,0.1480557940909293,7,0.152719460151838,Sports,West,M,Growers,CUST_01006,31.527558625441134,0.6666666666666666,69.0,5,4,4,13,0.8307782198046831,0.1692217801953168,3981.62,Very High,3953.258472155716,7346.764408410112,4193.9536,4554.980008503366,28.361527844283955
17,4,405.6818364893624,157,36,2,6,0.495352953210808,0.2509802158562313,4,0.3649279448340048,Pharmacy,South,M,At-Risk,CUST_01666,101.4204591223406,1.4166666666666667,2.8235294117647056,2,1,2,5,0.2782963089120296,0.7217036910879704,156.81,Low,122.83531689414893,96.82476424312443,147.25162,123.68433394509145,33.97468310585107
31,33,1397.155282951663,68,33,2,7,0.526940423062016,0.1291297745783945,1,0.2973595997038637,Tech,North,F,Growers,CUST_00747,42.33803887732312,2.583333333333333,12.774193548387096,3,4,4,11,0.8091133904847746,0.1908866095152254,884.82,High,894.3030843014541,989.7510997779536,848.8452,898.4560900862064,9.483084301454028
3,4,100.6465500998797,294,63,1,5,0.2212415095207789,0.2223099725449062,8,0.8619835875709916,Pharmacy,East,F,Hibernating,CUST_02852,25.16163752496993,0.25,16.0,1,1,1,3,0.2101390181402497,0.7898609818597502,187.98,Low,166.56548338226403,52.363255566885606,188.02368,137.19605057426224,21.414516617735956
47,113,6283.5144268191225,14,64,3,9,0.6895512931978933,0.0573538624664423,1,0.0313646046884421,Electronics,East,F,Champions,CUST_00292,55.60632236123117,3.9166666666666665,28.85106382978724,5,5,5,15,0.95,0.05,9579.6,Very High,9863.0754093029,8036.237732975072,9758.971,9437.091725748933,283.4754093029005
9,32,900.4650061725607,62,33,2,6,0.8174013339772499,0.0789006334734463,6,0.1211674535688223,Sports,South,M,Growers,CUST_00782,28.139531442892523,0.75,42.66666666666666,4,4,3,11,0.7278036735062482,0.2721963264937518,1735.39,High,1878.9115302788807,1566.9824013716338,1717.543,1763.7579387723556,143.52153027888062
37,14,594.432144640667,166,37,1,5,0.2761100368934758,0.2402898275969239,14,0.3267104552849933,Pharmacy,North,F,At-Risk,CUST_02145,42.45943890290479,3.083333333333333,4.54054054054054,2,3,3,8,0.5375370896331921,0.4624629103668078,121.26,Low,136.91806463370995,172.1993727889883,125.64601,139.701041487054,15.658064633709941
63,131,9780.693517632852,4,38,4,10,0.7986189499518013,0.0483701641909615,2,0.0095691834380396,Home,West,F,Champions,CUST_00323,74.66178257735002,5.25,24.952380952380956,5,5,5,15,0.8732831904096442,0.1267168095903558,5360.75,Very High,6326.644293354428,7152.176608634172,5528.624,6226.726918180185,965.8942933544276
71,165,6220.266508457457,2,44,3,8,0.5442478163299527,0.0638006931639241,4,0.0051646962859971,Luxury,West,M,Champions,CUST_00299,37.698584899742166,5.916666666666667,27.88732394366197,5,5,5,15,0.95,0.05,7144.01,Very High,7017.377712537761,5006.494285801362,6942.4854,6538.067169776263,126.63228746223922
35,29,800.0,57,41,3,6,0.7671918206774753,0.0914109082123996,2,0.334770326221755,Clothing,West,M,Growers,CUST_01299,27.58620689655172,2.9166666666666665,9.942857142857145,4,4,3,11,0.8315608688825661,0.1684391311174339,578.71,Medium,639.0700617510411,599.6253650669057,570.4298,609.8342508609253,60.36006175104103
38,175,8478.724600230556,2,47,4,8,0.7074698642702696,0.0290044401779897,4,0.0018004540909023,Luxury,West,F,Champions,CUST_00195,48.44985485846032,3.1666666666666665,55.26315789473684,5,5,5,15,0.95,0.05,17662.08,Very High,17940.44263684153,23087.627712124315,18611.04,19077.602442608953,278.362636841528
32,177,12051.102799642167,12,58,4,8,0.6482149035180536,0.0385423673501912,1,0.1143261880772466,Luxury,West,F,Champions,CUST_00064,68.08532655165067,2.6666666666666665,66.375,5,5,5,15,0.95,0.05,29705.97,Very High,26331.301854066478,50989.84694876521,30053.398,31268.099516668033,3374.668145933523
56,150,3598.3557474120184,23,37,4,8,0.7947255654825283,0.0472310236553511,2,0.1286786675276233,Home,East,M,Champions,CUST_00394,23.989038316080123,4.666666666666667,32.14285714285714,5,5,5,15,0.95,0.05,5524.32,Very High,6348.825579333403,5432.298090343822,5454.105,5879.774715684603,824.5055793334031
24,25,2278.425226498196,23,27,2,7,0.6983207026968675,0.0509109943882201,3,0.3190880282567979,Clothing,South,F,Growers,CUST_00728,91.13700905992782,2.0,12.5,5,3,4,12,0.7733142619977653,0.2266857380022346,1513.44,High,1689.091536662112,2038.4719327534353,1809.1075,1790.3070572381218,175.651536662112
47,7,560.9467380811806,178,56,2,6,0.5191256265765269,0.1621579854203461,8,0.4849867492401675,Grocery,West,F,At-Risk,CUST_01584,80.1352482973115,3.9166666666666665,1.7872340425531916,2,2,3,7,0.3917951374443801,0.6082048625556198,70.85,Low,98.95790667580877,107.67770194086648,83.53295,95.65948470824334,28.107906675808778
46,16,295.5161142668412,151,21,2,4,0.4083063928555887,0.1567183532657773,5,0.6579729514663284,Pharmacy,West,M,At-Risk,CUST_01548,18.469757141677576,3.8333333333333335,4.173913043478261,2,3,2,7,0.4783338890321683,0.5216661109678317,49.01,Low,58.797287789515494,63.160596496392,50.834896,57.10066792071517,9.787287789515496
20,7,78.77071584827172,228,18,2,1,0.3591548996693168,0.2227281514763778,15,0.6653795647777359,Pharmacy,North,F,Hibernating,CUST_02426,11.25295940689596,1.6666666666666667,4.2,1,2,1,4,0.2431805324633834,0.7568194675366166,20.59,Low,22.188915455771063,28.052648982441298,21.493141,23.037672905046232,1.5989154557710634
76,108,9675.230721014212,3,58,4,9,0.4772124743965274,0.012271041223303,3,0.1035070332614174,Home,West,M,Champions,CUST_00015,89.5854696390205,6.333333333333333,17.05263157894737,5,5,5,15,0.95,0.05,9196.68,Very High,10487.70779907471,5434.864594086268,9222.025,8847.646133190045,1291.027799074709
15,5,73.36627710685498,332,41,2,2,0.418778225448663,0.3522946489052899,9,0.5767553315265213,Pharmacy,East,F,Hibernating,CUST_02568,14.673255421370996,1.25,4.0,1,1,1,3,0.2024008908579038,0.7975991091420962,29.59,Low,25.83653090365436,31.775633061930307,28.52097,27.741711878040103,3.75346909634564
33,19,800.0,134,30,2,5,0.3516853658828964,0.1383051771089778,11,0.4995885427481739,Clothing,East,M,At-Risk,CUST_01601,42.10526315789474,2.75,6.909090909090909,2,3,3,8,0.5543659189329314,0.4456340810670686,217.3,Medium,200.79447903158163,202.03381039903783,213.73727,204.8451284511258,16.50552096841838
22,16,1041.9447636704317,43,52,3,6,0.668450635260211,0.0600494759239754,5,0.1160937208787599,Clothing,North,F,Growers,CUST_01091,65.12154772940197,1.8333333333333333,8.727272727272728,4,3,3,10,0.75223556208823,0.24776443791177,776.01,Medium,716.2439861010838,694.1100709980075,801.7636,736.2597739711744,59.766013898916185
22,19,800.0,149,20,2,5,0.5224591856132168,0.1990406017702071,11,0.3683585392848595,Grocery,North,F,At-Risk,CUST_02112,42.10526315789474,1.8333333333333333,10.363636363636363,2,3,3,8,0.4516029892863508,0.5483970107136491,228.21,Medium,266.60531745464874,223.26023185472982,285.3857,262.62298414687683,38.39531745464873
45,85,6167.497499883805,16,56,4,10,0.4297882246375246,0.0258255349707393,3,0.0725247127660205,Luxury,West,M,Champions,CUST_00204,72.55879411628005,3.75,22.666666666666668,5,5,5,15,0.95,0.05,15708.36,Very High,11407.070016739957,7367.3762238352465,11203.598,10395.793419851392,4301.289983260043
5,1,86.59187323691243,212,60,1,5,0.3034076126450343,0.307278433159584,12,0.4975543334687474,Grocery,North,M,Hibernating,CUST_02419,86.59187323691243,0.4166666666666667,2.4,1,1,1,3,0.2251707121774661,0.7748292878225338,135.1,Low,101.00936330622139,48.96616075726781,130.19298,94.37365573451474,34.090636693778606
78,144,11866.63438011398,23,51,4,10,0.3849405030253676,0.0535927382267888,2,0.0079240029547082,Electronics,West,M,Champions,CUST_00153,82.40718319523597,6.5,22.153846153846157,5,5,5,15,0.9479549067763556,0.0520450932236444,10921.04,Very High,12389.409878831455,7900.498644341649,11463.161,11062.369518620613,1468.3698788314541
6,6,35.3489323386443,214,46,2,5,0.4025922319906251,0.2140375552303823,6,0.4910028238355436,Pharmacy,South,F,Hibernating,CUST_02902,5.891488723107384,0.5,12.0,1,2,1,4,0.3224425415670752,0.6775574584329247,43.89,Low,50.76969632508853,51.22491238564764,41.624237,47.922692431059005,6.879696325088531
6,26,1001.0056988747416,29,32,3,9,0.4756804756959717,0.1001578649906456,3,0.1011204233313822,Tech,West,F,Growers,CUST_01360,38.50021918749007,0.5,52.0,4,3,3,10,0.6488516057565966,0.3511483942434034,1968.17,High,1829.7742931440466,1525.5964333699592,2096.711,1838.0180290839567,138.39570685595345
34,47,2500.0,77,31,3,9,0.6225555173600641,0.0709826583090561,7,0.2032480150482218,Clothing,West,F,Growers,CUST_00773,53.191489361702125,2.833333333333333,16.588235294117645,3,4,4,11,0.780322918398932,0.219677081601068,1788.14,High,1381.5279915288172,1168.6148702176783,1556.7184,1384.7736679268355,406.6120084711829
16,1,87.8155665810078,253,47,1,5,0.4120166983347059,0.2441092821561448,7,0.4236252216117927,Grocery,South,M,Hibernating,CUST_02679,87.8155665810078,1.3333333333333333,0.75,1,1,1,3,0.2406893372461048,0.7593106627538951,31.93,Low,32.612188785155745,42.07892846638017,32.31831,34.22948507652243,0.6821887851557449
17,53,1600.6535592674556,52,28,3,8,0.7955913336944673,0.1396227057308108,7,0.3154081515613868,Clothing,West,M,Growers,CUST_01002,30.201010552216143,1.4166666666666667,37.41176470588235,4,4,4,12,0.7964425718904483,0.2035574281095516,1972.01,High,1817.9079126436338,2638.40445162761,1951.2808,2000.563132992902,154.10208735636616
18,20,1357.5253903879516,52,31,3,8,0.8584374144619096,0.0539150544277078,1,0.1903695835235688,Sports,West,F,Growers,CUST_00719,67.87626951939758,1.5,13.333333333333334,4,3,4,11,0.7632401809108591,0.2367598190891409,919.61,High,1154.5376618901535,1509.3766794085723,1032.565,1177.9909078829903,234.92766189015344
22,43,1038.9341823994278,20,38,3,9,0.6791960581643368,0.1378750138834493,2,0.186757006331409,Tech,South,F,Growers,CUST_00613,24.161260055800646,1.8333333333333333,23.454545454545457,5,4,3,12,0.8209006177648231,0.1790993822351768,970.7,High,1123.434574192127,1281.0240376342297,1009.3501,1116.8614517594935,152.73457419212696
